0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:30:42 -0600] "GET /LeaveManagement/JSP/Employee.jsp HTTP/1.1" 500 2741
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:31:38 -0600] "POST /LeaveManagement/LoginServlet HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:31:41 -0600] "GET /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:32:42 -0600] "POST /LeaveManagement/LoginServlet HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:32:44 -0600] "GET /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:32:46 -0600] "POST /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:32:46 -0600] "GET /LeaveManagement/JSP/ApplyLeaveSuccess.jsp HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:32:48 -0600] "GET /LeaveManagement/JSP/Employee.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:32:56 -0600] "GET /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:33:04 -0600] "POST /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:33:04 -0600] "GET /LeaveManagement/JSP/ApplyLeaveSuccess.jsp HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:33:09 -0600] "GET /LeaveManagement/JSP/Employee.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:33:16 -0600] "GET /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:33:18 -0600] "POST /LeaveManagement/JSP/ApplyLeave.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:33:18 -0600] "GET /LeaveManagement/JSP/ApplyLeaveSuccess.jsp HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [16/Apr/2018:21:33:21 -0600] "GET /LeaveManagement/JSP/Employee.jsp HTTP/1.1" 200 397
